category,flow_id,src_ip,dst_ip,time_s,rtt_ms,method
HTTPS / Remote (Port 443),10.100.110.176:57182->151.101.1.91:443,10.100.110.176,151.101.1.91,1775128632.396976,6.686,DATA-ACK
HTTPS / Remote (Port 443),151.101.1.91:443->10.100.110.176:57182,151.101.1.91,10.100.110.176,1775128632.397119,0.1411,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,104.18.26.48,10.100.110.176,1775128632.437999,0.067,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,104.18.26.48,10.100.110.176,1775128632.43828,0.0451,DATA-ACK
HTTPS / Remote (Port 443),13.89.179.8:443->10.100.110.176:60458,13.89.179.8,10.100.110.176,1775128632.632682,0.1471,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:60458->13.89.179.8:443,10.100.110.176,13.89.179.8,1775128632.926304,292.4891,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:60458->13.89.179.8:443,10.100.110.176,13.89.179.8,1775128633.465882,248.982,DATA-ACK
HTTPS / Remote (Port 443),13.89.179.8:443->10.100.110.176:60458,13.89.179.8,10.100.110.176,1775128633.491122,0.0451,DATA-ACK
HTTPS / Remote (Port 443),31.13.66.51:443->10.100.110.176:56877,31.13.66.51,10.100.110.176,1775128635.291925,0.154,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:56877->31.13.66.51:443,10.100.110.176,31.13.66.51,1775128635.686254,290.658,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57181->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128637.238206,13.4399,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,104.18.26.48,10.100.110.176,1775128637.263654,0.1509,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57141->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128638.633126,8.7881,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57141->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128638.635879,11.4369,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57141,104.18.26.48,10.100.110.176,1775128638.834941,0.212,DATA-ACK
HTTPS / Remote (Port 443),57.144.43.32:443->10.100.110.176:57208,57.144.43.32,10.100.110.176,1775128639.601732,16.0329,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:57208->57.144.43.32:443,10.100.110.176,57.144.43.32,1775128639.616272,14.3049,DATA-ACK
HTTPS / Remote (Port 443),57.144.43.32:443->10.100.110.176:57208,57.144.43.32,10.100.110.176,1775128639.616387,0.1128,DATA-ACK
HTTPS / Remote (Port 443),57.144.43.32:443->10.100.110.176:57208,57.144.43.32,10.100.110.176,1775128639.617295,0.1261,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57208->57.144.43.32:443,10.100.110.176,57.144.43.32,1775128639.644236,19.557,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57208->57.144.43.32:443,10.100.110.176,57.144.43.32,1775128639.644237,19.5041,DATA-ACK
HTTPS / Remote (Port 443),57.144.43.32:443->10.100.110.176:57208,57.144.43.32,10.100.110.176,1775128639.644317,0.0789,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57208->57.144.43.32:443,10.100.110.176,57.144.43.32,1775128639.70203,57.6909,DATA-ACK
HTTPS / Remote (Port 443),57.144.43.32:443->10.100.110.176:57208,57.144.43.32,10.100.110.176,1775128639.826752,0.066,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57208->57.144.43.32:443,10.100.110.176,57.144.43.32,1775128639.834507,6.346,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.99:443->10.100.110.176:57209,17.8.135.99,10.100.110.176,1775128645.562339,12.7301,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:57209->17.8.135.99:443,10.100.110.176,17.8.135.99,1775128645.573037,10.1919,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57209->17.8.135.99:443,10.100.110.176,17.8.135.99,1775128645.573039,10.1922,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.99:443->10.100.110.176:57209,17.8.135.99,10.100.110.176,1775128645.577592,0.2618,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.99:443->10.100.110.176:57209,17.8.135.99,10.100.110.176,1775128645.57828,0.0339,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.99:443->10.100.110.176:57209,17.8.135.99,10.100.110.176,1775128645.580197,0.1841,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57209->17.8.135.99:443,10.100.110.176,17.8.135.99,1775128645.59377,8.306,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.99:443->10.100.110.176:57209,17.8.135.99,10.100.110.176,1775128645.595888,0.119,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57209->17.8.135.99:443,10.100.110.176,17.8.135.99,1775128645.608874,12.9561,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.99:443->10.100.110.176:57209,17.8.135.99,10.100.110.176,1775128645.608987,0.113,DATA-ACK
HTTPS / Remote (Port 443),13.107.253.48:443->10.100.110.176:60652,13.107.253.48,10.100.110.176,1775128651.267948,0.0579,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.85:443->10.100.110.176:57210,20.207.73.85,10.100.110.176,1775128677.124649,11.43,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:57210->20.207.73.85:443,10.100.110.176,20.207.73.85,1775128677.237307,80.657,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.85:443->10.100.110.176:57210,20.207.73.85,10.100.110.176,1775128677.23784,0.53,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.85:443->10.100.110.176:57210,20.207.73.85,10.100.110.176,1775128677.262225,0.4699,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57210->20.207.73.85:443,10.100.110.176,20.207.73.85,1775128677.343909,64.7941,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57210->20.207.73.85:443,10.100.110.176,20.207.73.85,1775128677.34391,64.009,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.85:443->10.100.110.176:57210,20.207.73.85,10.100.110.176,1775128677.344295,0.3831,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57210->20.207.73.85:443,10.100.110.176,20.207.73.85,1775128677.466864,122.4952,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.85:443->10.100.110.176:57210,20.207.73.85,10.100.110.176,1775128677.790627,0.1349,DATA-ACK
HTTPS / Remote (Port 443),142.250.205.206:443->10.100.110.176:60654,142.250.205.206,10.100.110.176,1775128692.198643,8.7729,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:60654->142.250.205.206:443,10.100.110.176,142.250.205.206,1775128692.20785,6.1851,DATA-ACK
HTTPS / Remote (Port 443),142.250.205.206:443->10.100.110.176:60654,142.250.205.206,10.100.110.176,1775128692.212639,0.0391,DATA-ACK
HTTPS / Remote (Port 443),142.250.205.206:443->10.100.110.176:60654,142.250.205.206,10.100.110.176,1775128692.215016,0.0169,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:60654->142.250.205.206:443,10.100.110.176,142.250.205.206,1775128692.225747,8.6792,DATA-ACK
HTTPS / Remote (Port 443),142.250.205.206:443->10.100.110.176:60654,142.250.205.206,10.100.110.176,1775128692.225796,0.0489,DATA-ACK
HTTPS / Remote (Port 443),142.250.205.206:443->10.100.110.176:60654,142.250.205.206,10.100.110.176,1775128692.227416,0.021,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:60654->142.250.205.206:443,10.100.110.176,142.250.205.206,1775128692.23728,11.4079,DATA-ACK
HTTPS / Remote (Port 443),142.250.205.206:443->10.100.110.176:60654,142.250.205.206,10.100.110.176,1775128692.556864,0.057,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:60654->142.250.205.206:443,10.100.110.176,142.250.205.206,1775128692.565922,8.8651,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.67342,9.5909,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:60655->20.207.73.82:443,10.100.110.176,20.207.73.82,1775128692.685751,11.7369,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.685812,0.0589,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.686648,0.016,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:60655->20.207.73.82:443,10.100.110.176,20.207.73.82,1775128692.701975,10.3662,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.702014,0.037,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.703755,0.0269,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.705277,0.0241,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.70697,0.031,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.714727,0.0498,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:60655->20.207.73.82:443,10.100.110.176,20.207.73.82,1775128692.720236,18.127,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.720314,0.0801,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.720331,0.0939,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.721979,0.037,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.72445,0.03,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.725682,0.031,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.727313,0.0269,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.728762,0.042,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.730951,0.0281,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.732381,0.041,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.736743,0.026,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.740604,0.0379,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.742377,0.0842,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.743941,0.0241,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.745704,0.0288,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.747986,0.025,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.750589,0.0248,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.754482,0.025,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.757304,0.0279,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.759571,0.0231,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.762045,0.0279,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.765337,0.0229,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.767559,0.0319,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.769851,0.0389,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.774159,0.0339,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.776682,0.0348,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.777828,0.0701,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.778733,0.0231,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.7812,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.782111,0.0849,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.783367,0.0298,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.785801,0.041,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.788178,0.0229,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.790187,0.031,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.79246,0.0288,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.794858,0.0329,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.797188,0.026,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.798988,0.0281,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.801596,0.0229,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.802679,0.067,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.80389,0.0229,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.806158,0.0241,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.809221,0.0241,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.810655,0.025,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.812524,0.0272,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.815409,0.0229,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.818189,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.818845,0.067,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.821292,0.0229,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.821945,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.824067,0.025,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.825558,0.0279,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.827782,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.829386,0.0269,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.83102,0.035,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.833331,0.03,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.835836,0.0219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.838241,0.0222,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->10.100.110.176:60655,20.207.73.82,10.100.110.176,1775128692.839982,0.0341,DATA-ACK
